authors,original_publication_year,isbn,title,Genre,rating,desc,image_url,drive_links
David Beazley,2013,1449340377,Python cook book,technical,4.2,"If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket.",https://m.media-amazon.com/images/I/61QP5zR79pL._SX260_.jpg,https://drive.google.com/file/d/1qpFsenDzCMO-ctvPID-67S8fW0hdskxC/view?usp=sharing
Dr.M.O.Faruque sarker,2015,1784396008,learning python network programming,technical,2.34,"As the book progresses, socket programming will be covered, followed by how to design servers and the pros and cons of multithreaded and event-driven architectures. You'll develop practical client-side applications, including web API clients, e-mail clients, SSH, and FTP. These applications will also be implemented through existing web application frameworks.",https://m.media-amazon.com/images/I/61QP5zR79pL._SX260_.jpg,https://drive.google.com/file/d/131KBby5MIjFdKf8DxTGFJc9VDHNv0cQT/view?usp=sharing
Richard lawson,2017,1.49E+09,Python Web scrapping,technical,4.6,"his book is the ultimate guide to using the latest features of Python 3.x to scrape data from websites. In the early chapters, you’ll see how to extract data from static web pages. You’ll learn to use caching with databases and files to save time and manage the load on servers. After covering the basics, you’ll get hands-on practice building a more sophisticated crawler using browsers, crawlers, and concurrent scrapers.",https://static.packt-cdn.com/products/9781786462589/cover/smaller,https://drive.google.com/file/d/1DUooQzAByb2AQ2MgWupggxLEciG0iwZu/view?usp=sharing
T.J.Barth,2016,3319324289,Programming for Computations,technical,4.5,The book outlines the shortest possible path from no previous experience with programming to a set of skills that allows the students to write simple programs for solving common mathematical problems with numerical methods in engineering and science courses.,https://images-eu.ssl-images-amazon.com/images/I/4129RvRG9VL._SX342_SY445_QL70_ML2_.jpg,https://drive.google.com/file/d/1sgb1WswAxJ2Khdkm27ur9m1f8Q9NR1Tt/view?usp=sharing
Dmitry Zinoview,2018,1.35E+08,Complex Network analysis,technical,4.4,"Complex Network Analysis studies how to recognise, describe, visualise and analyse complex networks. ... The two most important concepts concerning networks are entities and the relationships between them. Entities are referred to as nodes and relationships are known as edges","https://images-na.ssl-images-amazon.com/images/I/51flQ-b+F8L._SX415_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1QrWW3i4iHIA12c0qB6DqULQSawwTU2xs/view?usp=sharing
Zed Shaw,2014,1.34E+08,learn python hardway,technical,4.2,"Zed Shaw has perfected the world’s best system for learning Python 3. Follow it and you will succeed—just like the millions of beginners Zed has taught to date! You bring the discipline, commitment, and persistence; the author supplies everything else.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSOndEdFtQnpyp3CwJXfCQYHDZzPpkcSxEftira5ZKHNg_VE8O4,https://drive.google.com/file/d/1Csr2mvMFvDbr_mitFGir6Bj19twOVsv7/view?usp=sharing
Ramez Elmasri,1994,133970777,Fundamentals of database system,technical,3.4,"Clear explanations of theory and design, broad coverage of models and real systems, and an up-to-date introduction to modern database technologies result in a leading introduction to database systems. Intended for computer science majors, Fundamentals of Database Systems, 6/e emphasizes math models, design issues, relational algebra, and relational calculus.",https://images-na.ssl-images-amazon.com/images/I/91Se3g7PINL.jpg,https://drive.google.com/file/d/1E5BR94qWDt8dHZBrPoDpic81T_5LwwaD/view?usp=sharing
Pete Warden,2017,1.49E+09,Building mobile application tensorflow,technical,4.1,Explore a preview version of Building Mobile Applications with TensorFlow right now.,https://learning.oreilly.com/library/cover/9781491988435/250w/,https://drive.google.com/file/d/11C47TsFDOARx0yVngn29GyyevCC0iaSO/view?usp=sharing
Stephen F. Elston,2016,1.49E+09,Data science in the cloud,technical,3.6,Explore a preview version of Data Science in the Cloud with Microsoft Azure Machine Learning and Python right now.,https://learning.oreilly.com/library/cover/9781492042594/250w/,https://drive.google.com/file/d/1EuFpYFUcnB9D6XsLXV9DK7dBjsYtYfGq/view?usp=sharing
Tom Hope,2017,1.49E+09,learning tensorflow,technical,4.1,"Roughly inspired by the human brain, deep neural networks trained with large amounts of data can solve complex tasks with unprecedented accuracy. This practical book provides an end-to-end guide to TensorFlow, the leading open source software library that helps you build and train neural networks for computer vision, natural language processing (NLP), speech recognition, and general predictive analytics.",https://learning.oreilly.com/library/cover/9781491978504/250w/,https://drive.google.com/file/d/14VR5-e-7YBIagVCVQbFmBe7rJok14TGp/view?usp=sharing
John Paul Mueller,2016,1.12E+09,Machine Learning For Dummies,technical,4.5,"Your no-nonsense guide to making sense of machine learning Written by two data science experts, Machine Learning For Dummies offers a much-needed entry point for anyone looking to use machine learning to accomplish practical tasks.","https://images-na.ssl-images-amazon.com/images/I/514PnCc2a9L._SX258_BO1,204,203,200_.jpg",https://drive.google.com/file/d/1GfWUUZiQ2JsTZSVxmqxJFsjJH1tXsR6P/view?usp=sharing
Francesco Corea,2018,1.51E+09,An Introduction to data,technical,2.4,"Everything You Need to Know About AI, Big Data and Data Science. Authors: Corea, Francesco. An essential introductory book on innovation, big data, and data science from a business perspective.",https://m.media-amazon.com/images/I/41mOk3dgkLL.jpg,https://drive.google.com/file/d/1Qy7-Y20TM8hWNXCK8Whx17Kf3zAfr5Qc/view?usp=sharing
