authors,original_publication_year,title,Genre,Desc,rating,image_url,,,,,,pdf
Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",Fiction,"In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.  Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,,,,,,https://drive.google.com/file/d/1-HEl4Hd-_ugeQbd_t32JP_WNP0Z6MS8a/view?usp=sharing
"J.K. Rowling, Mary GrandPrÃ©",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Fiction,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry. After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry. Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,,,,,,https://drive.google.com/file/d/1iLEL-G2J0UPeP-CiTMiT4QScamVecdf3/view?usp=sharing
Stephenie Meyer,2005,"Twilight (Twilight, #1)",Fiction,"About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood. And third, I was unconditionally and irrevocably in love with him. Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,,,,,,https://drive.google.com/file/d/1iLEL-G2J0UPeP-CiTMiT4QScamVecdf3/view?usp=sharing
Harper Lee,1960,To Kill a Mockingbird,Fiction,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.",4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,,,,,,https://drive.google.com/file/d/1iLEL-G2J0UPeP-CiTMiT4QScamVecdf3/view?usp=sharing
F. Scott Fitzgerald,1925,The Great Gatsby,Fiction,"The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.",3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,,,,,,https://drive.google.com/file/d/1HlgVnj45pzwX0J9GgFWDBOP7PRtUgzBN/view?usp=sharing
Oscar Wilde ,1895,The Importance of Being Earnest,Drama,"Cecily Cardew and Gwendolen Fairfax are both in love with the same mythical suitor. Jack Worthing has wooed Gwendolen as Ernest while Algernon has also posed as Ernest to win the heart of Jack's ward, Cecily. When all four arrive at Jack's country home on the same weekend the ""rivals"" to fight for Ernest's undivided attention and the ""Ernests"" to claim their beloveds pandemonium breaks loose. Only a senile nursemaid and an old, discarded hand-bag can save the day!",4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,,https://drive.google.com/file/d/1HlgVnj45pzwX0J9GgFWDBOP7PRtUgzBN/view?usp=sharing
J.R.R. Tolkien,1937,The Hobbit,Fiction,"Smaug certainly looked fast asleep, when Bilbo peeped once more from the entrance. He was just about to step out onto the floor when he caught a sudden thin ray of red from under the drooping lid of Smaug's left eye. He was only pretending to be sleep! He was watching the tunnel entrance!. Whisked from his comfortable hobbit-hole by Gandalf the wizard and a band of dwarves, Bilbo Baggins finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.",4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,,,,,,https://drive.google.com/file/d/1wCQ5vnQM5CofTvlZ6G1br9MdHEX3lTPC/view?usp=sharing
J.D. Salinger,1951,The Catcher in the Rye,Novels,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep.",3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,,,,,,https://drive.google.com/file/d/1e1AV5byC8fU7dPlRXztiB_4-RZut0a2n/view?usp=sharing
Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",Mystery,"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.",3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,,,,,,https://drive.google.com/file/d/12vUayqVKzS3Tpvo7S0I23v-Hh09tnzbG/view?usp=sharing
Jane Austen,1813,Pride and Prejudice,Novels,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,,,,,,https://drive.google.com/file/d/1lafyXdfmTpBYv1rr8rZuI4tDm63aomnX/view?usp=sharing
Khaled Hosseini,2003,The Kite Runner,Novels,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.",4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,,,,,,https://drive.google.com/file/d/1PuCuKJBqfTvOIn0cYrFz6_EzWoV2-Sk8/view?usp=sharing
Veronica Roth,2011,"Divergent (Divergent, #1)",Fiction,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.",4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,,,,,,https://drive.google.com/file/d/1eXqeh6R0z-OXAfKxAmmpnNrT_oQNds2H/view?usp=sharing
